Success,Completion Steps,Wall Time (s),Drone Count,max_steps,boundary,clusters,dt,drone_xy,k_nn,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
False,,4.888703541000723,1,2000,none,3,1.0,[[0 0]],15,True,57,uniform,0,30.199337741083
False,,5.065673416000209,1,2000,none,3,1.0,[[0 0]],17,True,57,uniform,0,30.199337741083
False,,4.901709790996392,1,2000,none,3,1.0,[[0 0]],19,True,57,uniform,0,30.199337741083
False,,4.893097916996339,1,2000,none,3,1.0,[[0 0]],21,True,57,uniform,0,30.199337741083
False,,4.902254959000857,1,2000,none,3,1.0,[[0 0]],23,True,57,uniform,0,30.199337741083
False,,4.886586458000238,1,2000,none,3,1.0,[[0 0]],25,True,57,uniform,0,30.199337741083
False,,4.884380207993672,1,2000,none,3,1.0,[[0 0]],27,True,57,uniform,0,30.199337741083
False,,4.884222499997122,1,2000,none,3,1.0,[[0 0]],29,True,57,uniform,0,30.199337741083
False,,5.4906064579990925,1,2000,none,3,1.0,[[0 0]],1,True,62,uniform,0,31.496031496047245
False,,5.395307166996645,1,2000,none,3,1.0,[[0 0]],3,True,62,uniform,0,31.496031496047245
False,,5.3664412920043105,1,2000,none,3,1.0,[[0 0]],5,True,62,uniform,0,31.496031496047245
False,,5.403167041004053,1,2000,none,3,1.0,[[0 0]],7,True,62,uniform,0,31.496031496047245
False,,5.298848334001377,1,2000,none,3,1.0,[[0 0]],9,True,62,uniform,0,31.496031496047245
False,,5.3253389580058865,1,2000,none,3,1.0,[[0 0]],11,True,62,uniform,0,31.496031496047245
False,,5.266100499997265,1,2000,none,3,1.0,[[0 0]],13,True,62,uniform,0,31.496031496047245
False,,5.3624873329972615,1,2000,none,3,1.0,[[0 0]],15,True,62,uniform,0,31.496031496047245
False,,5.336055958003271,1,2000,none,3,1.0,[[0 0]],17,True,62,uniform,0,31.496031496047245
False,,5.308666458004154,1,2000,none,3,1.0,[[0 0]],19,True,62,uniform,0,31.496031496047245
False,,5.280089666994172,1,2000,none,3,1.0,[[0 0]],21,True,62,uniform,0,31.496031496047245
False,,5.4728057499887655,1,2000,none,3,1.0,[[0 0]],23,True,62,uniform,0,31.496031496047245
False,,5.307026708003832,1,2000,none,3,1.0,[[0 0]],25,True,62,uniform,0,31.496031496047245
False,,5.291796332996455,1,2000,none,3,1.0,[[0 0]],27,True,62,uniform,0,31.496031496047245
